head,rel,tail
2016年,全行业,统计年份,
全行业,完成,运输总周转量962.51亿吨公里,
运输总周转量962.51亿吨公里,与往年比,比上年增长13.0%,
国内航线,完成,运输总周转量621.93亿吨公里,
运输总周转量621.93亿吨公里,与往年比,比上年增长11.2%,
国内航线,其中,港澳台航线,
港澳台航线,完成,15.43亿吨公里,
15.43亿吨公里,与往年比,比上年下降4.9%,
国际航线,完成,运输总周转量340.58亿吨公里,
运输总周转量340.58亿吨公里,与往年比,比上年增长16.4%,
全行业,完成,旅客周转量8378.13亿人公里,
旅客周转量8378.13亿人公里,与往年比,比上年增长15.0%,
国内航线,完成,旅客周转量6217.75亿人公里,
旅客周转量6217.75亿人公里,与往年比,比上年增长11.7%,
国内航线,其中,港澳台航线,
港澳台航线,完成,144.10亿人公里,
144.10亿人公里,与往年比,比上年下降5.1%,
国际航线,完成,旅客周转量2160.38亿人公里,
旅客周转量2160.38亿人公里,与往年比,比上年增长25.8%,
全行业,完成,货邮周转量222.45亿吨公里,
货邮周转量222.45亿吨公里,与往年比,比上年增长6.9%,
国内航线,完成,货邮周转量72.11亿吨公里,
货邮周转量72.11亿吨公里,与往年比,比上年增长7.7%,
国内航线,其中,港澳台航线,
港澳台航线,完成,2.75亿吨公里,
2.75亿吨公里,与往年比,比上年下降3.4%,
国际航线,完成,货邮周转量150.34亿吨公里,
货邮周转量150.34亿吨公里,与往年比,比上年增长6.5%,
2016年,全行业,统计年份,
全行业,完成,旅客运输量48796万人次,
旅客运输量48796万人次,与往年比,比上年增长11.9%,
国内航线,完成,旅客运输量43634万人次,
旅客运输量43634万人次,与往年比,比上年增长10.7%,
国内航线,其中,港澳台航线,
港澳台航线,完成,985万人次,
985万人次,与往年比,比上年下降3.4%,
国际航线,完成,旅客运输量5162万人次,
旅客运输量5162万人次,与往年比,比上年增长22.7%,
2016年,全行业,统计年份,
全行业,完成,货邮运输量668.0万吨,
货邮运输量668.0万吨,与往年比,比上年增长6.2%,
