head,rel,tail
2017年,全行业,统计年份,
全行业,完成,运输总周转量1083.08亿吨公里,
运输总周转量1083.08亿吨公里,与往年比,比上年增长12.6%,
国内航线,完成,运输总周转量694.60亿吨公里,
运输总周转量694.60亿吨公里,与往年比,比上年增长11.7%,
国内航线,其中,港澳台航线,
港澳台航线,完成,16.10亿吨公里,
16.10亿吨公里,与往年比,比上年增长4.3%,
国际航线,完成,运输总周转量388.48亿吨公里,
运输总周转量388.48亿吨公里,与往年比,比上年增长14.3%,
全行业,完成,运输总周转量,
运输总周转量,与往年比,年均增长12.2%,
全行业,完成,旅客周转量9513.04亿人公里,
旅客周转量9513.04亿人公里,与往年比,比上年增长13.5%,
国内航线,完成,旅客周转量7036.53亿人公里,
旅客周转量7036.53亿人公里,与往年比,比上年增长13.2%,
国内航线,其中,港澳台航线,
港澳台航线,完成,148.25亿人公里,
148.25亿人公里,与往年比,比上年增长2.9%,
国际航线,完成,旅客周转量2476.51亿人公里,
旅客周转量2476.51亿人公里,与往年比,比上年增长14.6%,
全行业,完成,旅客周转量,
旅客周转量,与往年比,年均增长13.6%,
全行业,完成,货邮周转量243.55亿吨公里,
货邮周转量243.55亿吨公里,与往年比,比上年增长9.8%,
国内航线,完成,货邮周转量72.97亿吨公里,
货邮周转量72.97亿吨公里,与往年比,比上年增长1.2%,
国内航线,其中,港澳台航线,
港澳台航线,完成,3.05亿吨公里,
3.05亿吨公里,与往年比,比上年增长11.0%,
国际航线,完成,货邮周转2量170.59亿吨公里,
货邮周转2量170.59亿吨公里,与往年比,比上年增长13.9%,
2017年,全行业,统计年份,
全行业,完成,旅客运输量55156万人次,
旅客运输量55156万人次,与往年比,比上年增长13.0%,
国内航线,完成,旅客运输量49611万人次,
旅客运输量49611万人次,与往年比,比上年增长13.7%,
国内航线,其中,港澳台航线,
港澳台航线,完成,1027万人次,
1027万人次,与往年比,比上年增长4.3%,
国际航线,完成,旅客运输量5545万人次,
旅客运输量5545万人次,与往年比,比上年增长7.4%,
全行业,完成,旅客运输量,
旅客运输量,与往年比,年均增长11.5%,
2017年,全行业,统计年份,
全行业,完成,货邮运输量705.9万吨,
货邮运输量705.9万吨,与往年比,比上年增长5.6%,
国内航线,完成,货邮运输量483.8万吨,
货邮运输量483.8万吨,与往年比,比上年增长1.9%,
国内航线,其中,港澳台航线,
港澳台航线,完成,24.2万吨,
24.2万吨,与往年比,比上年增长10.0%,
国际航线,完成,货邮运输量222.1万吨,
货邮运输量222.1万吨,与往年比,比上年增长15.0%,
全行业,完成,货邮运输量,
货邮运输量,与往年比,年均增长5.3%,
2017年,民航运输机场,统计年份,
民航运输机场,实现,旅客吞吐量[5]11.48亿人次,
旅客吞吐量[5]11.48亿人次,与往年比,比上年增长12.9%,
2017年,旅客吞吐量6.14亿人次,统计年份,
2017年,旅客吞吐量0.72亿人次,统计年份,
2017年,旅客吞吐量1.22亿人次,统计年份,
2017年,旅客吞吐量3.40亿人次,统计年份,
东部地区,完成,旅客吞吐量6.14亿人次,
东北地区,完成,旅客吞吐量0.72亿人次,
中部地区,完成,旅客吞吐量1.22亿人次,
西部地区,完成,旅客吞吐量3.40亿人次,
2017年,民航运输机场,统计年份,
民航运输机场,完成,货邮吞吐量[7]1617.73万吨,
货邮吞吐量[7]1617.73万吨,与往年比,比上年增长7.1%,
2017年,货邮吞吐量1215.89万吨,统计年份,
2017年,货邮吞吐量54.74万吨,统计年份,
2017年,货邮吞吐量102.61万吨,统计年份,
2017年,货邮吞吐量244.49万吨,统计年份,
