entity,
2014年,
全行业,
运输总周转量748.12亿吨公里,
比上年增加76.39亿吨公里,
增长11.4%,
旅客周转量560.34亿吨公里,
比上年增加58.91亿吨公里,
增长11.7%,
货邮周转量187.77亿吨公里,
比上年增加17.48亿吨公里,
增长10.3%,
2014年,
国内航线,
运输周转量508.00亿吨公里,
比上年增加46.96亿吨公里,
增长10.2%,
港澳台航线,
16.17亿吨公里,
比上年增加1.95亿吨公里,
增长13.7%,
国际航线,
运输周转量240.11亿吨公里,
比上年增长29.44亿吨公里,
增长14.0%,
国内航线,
旅客运输量36040万人次,
比上年增加3298万人次,
增长10.1%,
港澳台航线,
1005万人次,
比上年增加101万人次,
增长11.2%,
国际航线,
旅客运输量3155万人次,
比上年增加500万人次,
增长18.8%,
国内航线,
货邮运输量425.7万吨,
比上年增长4.7%,
港澳台2航线,
22.3万吨,
比上年增长12.5%,
国际航线,
货邮运输量168.4万吨,
比上年增长9.0%,
截至2014年底,
全行业,
运输飞机期末在册架数2370架,
比上年增加225架,
截至2014年底,
我国,
颁证运输机场202个,
比上年增加9个,
2014年,
新增机场,
黑龙江抚远机场,
湖北神农架机场,
青海德令哈机场,
山西吕梁机场,
吉林通化机场,
广西河池机场,
四川阿坝机场,
贵州六盘水机场,
湖南衡阳机场,
陕西汉中机,
迁建,
陕西安康机场,
新疆且末机场,
停航,
我国,
航空公司,
国际定期航班,
48个国家的123个城市,
国内航空公司定期航班,
37个内地城市,
香港,
11个内地城市,
澳门,
大陆航空公司,
43个大陆城市,
台湾地区,
2014年底,
我国,
其他国家或地区,
双边航空运输协定116个,
比2013年底增加1个,
亚洲43个国家以及中国-东盟航空运输协定,
非洲23个国家,
欧洲36个国家,
美洲9个国家,
大洋洲47个国家,
截至2014年底,
我国,
运输航空公司51家,
比上年底净增5家,
国有控股公司38家,
民营和民营控股公司13家,
全货运航空公司6家,
中外合资航空公司11家,
上市公司5家,
中航集团,
飞行小时190.4万小时,
运输总周转量208.4亿吨公里,
比上年增加10.4%,
旅客运输量0.95亿人次,
比上年增加7.6%,
货邮运输量166.6万吨,
比上年增加6.8%,
东航集团,
飞行小时163.9万小时,
运输总周转量161.0亿吨公里,
比上年增加3.7%,
旅客运输量0.84亿人次,
比上年增加5.9%,
货邮运输量136.3万吨,
比上年降低3.2%,
南航集团,
飞行小时202.3万小时,
运输总周转量197.6亿吨公里,
比上年增加13.0%,
旅客运输量1.01亿人次,
比上年增加9.8%,
货邮运输量143.2万吨,
比上年增加12.2,
海航集团,
飞行小时107.5万小时,
运输总周转量99.9亿吨公里,
比上年增加18.9%,
旅客运输量0.60亿人次,
比上年增加16.9%,
货邮运输量72.7万吨,
比上年增加11.4%,
其他航空公司,
飞行小时100.0万小时,
运输总周转量81.1亿吨公里,
比上年增加18.2%,
旅客运输量0.52亿人次,
比上年增加20.7%,
货邮运输量75.3万吨,
比上年增加5.3%,
工业航空作业,
8.43万小时,
比上年降低12.6%,
农林业航空作业,
3.82万小时,
比上年增长12.0%,
其他通用航空作业,
55.25万小时,
比上年增长20.0%,
截至2014年底,
通用航空经营许可证,
通用航空企业239家,
华北地区65家,
中南地区48家,
华东地区44家,
东北地区24家,
西南地区32家,
西北地区19家,
新疆地区7家,
2014年,
全行业,
在册运输飞机,
平均日利用率为9.51小时,
比上年减少0.02小时,
大中型飞机,
平均日利用率为9.74小时,
比上年减少0.02小时,
小型飞机,
平均日利用率为6.36小时,
比上年减少0.24小时,
2014年,
正班客座率平均为81.4%,
比上年提高0.3个百分点,
2014年,
正班载运率平均为71.9%,
比上年降低0.3个百分点,
航空公司,
营业收入4215.6亿元,
比上年增长8.6%,
利润总额174.5亿元,
比上年增加11.9亿元,
机场,
营业收入702.7亿元,
比上年增长11.8%,
利润总额73.4亿元,
比上年增加28亿元,
保障企业,
营业收入1271.3亿元,
比上年增长4.8%,
利润总额41亿元,
比上年减少4.5亿元,
2014年,
民航安全形势平稳,
全行业未发生运输航空事故，运输航空百万小时重大事故率5年滚动值为0.03（世界平均水平为0.22）,
发生通用航空事故4起，死亡3人，同比减少9起，减少3人,
自2010年8月25日至2014年底,
运输航空,
安全飞行52个月，累计安全飞行2812万小时,
2014年,
事故征候324起,
同比增加11.5%,
严重事故征候11起,
严重事故征候万时率为0.014,
2014年,
51家运输航空公司中,
41家运输航空公司未发生责任事故征候,
2014年,
客运航空公司,
航班312.6万班次,
正常航班213.7万班次,
不正常航班93.7万班次,
平均航班正常率为68.37%,
2014年,
主要航空公司,
航班258.9万班次,
正常航班178.9万班次,
不正常航班76.6万班次,
平均航班正常率为69.09%,
2014年,
客运航班,
均延误时间为19分钟,
同比减少2分钟,
2014年,
民航局、各地区管理局、民航局消费者事务中心和中国航空运输协会,
航空消费者投诉1920件,
2014年,
受理投诉总量,
较2013年减少127件,
下降6.2%,
2014年,
民航,
固定资产投资总额1508.2亿元,
基本建设和技术改造投资734.2亿元,
比上年增长2.5%,
重点建设项目13个,
南京禄口机场扩建工程,
南宁吴圩机场扩建工程,
天津滨海机场扩建工程,
竣工,
广州白云机场扩12建工程,
重庆江北机场扩建工程,
武汉天河机场扩建工程,
哈尔滨太平机场扩建工程,
长沙黄花机场扩建工程,
郑州新郑机场扩建工程,
银川河东机场扩建工程,
续建项目,
北京新机场工程,
浦东机场飞行区扩建工程,
兰州机场扩建工程,
开工,
2014年,
空管系统,
固定资产投资23.9亿元,
比上年减少5.6亿元,
乌鲁木齐区域管制中心,
沈阳区域管制中心,
2个重点建设项目,
2014年,
民航其他系统,
固定资产投资总额149.5亿元,
比上年减少30.1亿元,
民航信息系统,
19.8亿元,
民航科研、教育系统,
5.3亿元,
民航安全保卫系统,
2.4亿元,
民航油料系统,
0.3亿元,
民航机务维修系统,
1.9亿元,
运输服务系统,
21.9亿元,
公共设施系统,
18.9亿元,
其他系统,
79.0亿元,
2014年,
航空公司,
临时航线约38.5万架次,
飞行距离超过1295万公里,
航油消耗6.99万吨,
二氧化碳排放约22万吨,
2014年底,
全行业,
驾驶执照飞行员39881人,
较上年年底增加4376人,
2014年,
民航直属院校,
在校生数达到61047人,
研究生3377人,
普通本专科生52186人,
成人在校生5484人,
中专生523人,
2014年,
民航直属院校,
毕业学生14947人,
硕士研究生652人,
普通本专科11457人,
中专学生583人,
成人学生2255人,
2014年,
民航,
科技成果40项,
2014年,
民航工会,
民航系统,
4个单位,
“全国五一劳动奖状”,
13个班组,
“全国工人先锋号”,
8名先进个人,
“全国五一劳动奖章”,
2014年,
“安康杯”,
296个单位,
25018个班组,
476977名职工,
147个先进集体和个人,
表彰,
2014年,
民航局,
规章5部,
《中国民用航空监察员管理规定》（民航局第222号令）,
《民用航空财经信息管理办法》（民航局第223号令）,
《民用航空器驾驶员和地面教员合格审定规则》（民航局第224号令）,
《中国民用航空局关于修改<定期国际航空运输管理规定>,
<中国民用航空国内航线经营许可规定>和<公共航空运输企业经营许可规定>的决定》（民航局第225号令）,
《民用航空通信导航监视工作规则》（民航局第226号令）,
